,0
309,Ulmus 'Frontier' :: Frontier Elm
310,Ficus rubiginosa :: Port Jackson Fig
311,Pyrus calleryana 'New Bradford' :: New Bradford Pear
312,Ligustrum ovalifolium :: California privet
313,Sophora japonica :: Japanese Pagoda
314,Malus floribunda :: Showy Crab Apple: Japanese Crabapple
315,Populus spp :: Poplar Spp
316,Pyrus spp :: Pear Tree
317,Ficus carica :: Edible Fig
318,Chiranthodendron pentadactylon :: Monkey Hand Tree
319,Persea indica :: Indian Bay
320,Cycas revoluta :: Sago palm
321,Juglans nigra :: Eastern black walnut
322,Fraxinus oxycarpa :: Ash
323,Prunus armeniaca :: Apricot
324,Ailanthus altissima :: Tree Of Heaven
325,Platanus x hispanica 'Bloodgood' :: Bloodgood London Plane
326,Azara microphylla :: Little-Leaf Azara
327,Ulmus parvifolia 'Sempervirens' :: Weeping Chinese Elm
328,Cercis canadensis 'Forest Pansy' :: Forest Pansy Redbud
329,Liquidambar styraciflua 'Palo Alto' :: Palo Alto Sweet Gum
330,Eucalyptus melliodora :: Yellow Box
331,Chitalpa tashkentensis ::
332,Callistemon 'Jeffers' :: Purple bottlebrush
333,Albizia distachya :: Plume Albizia Tree
334,Acacia baileyana 'Purpurea' :: Purple-leaf Acacia
335,Howea forsteriana :: Kentia Palm
336,Eucalyptus torquata :: Coral Gum
337,Cupressus arizonica :: Arizona Cypress
338,Bambusa spp :: Bamboo Species
339,Arbutus unedo 'Compacta' :: Dwarf strawberry tree
340,Populus tremuloides :: Quaking aspen
341,Citrus × meyeri 'Improved' :: Improved Meyer Lemon
342,Sapium sebiferum :: Chinese Tallow
343,Gleditsia triacanthos 'Shademaster' :: Honey Locust 'Shademaster'
344,Salix discolor :: Pussy Willow
345,Vitex lucens :: Puriri tree
346,Fraxinus angustifolia :: Narrow-leaved Ash
347,Brachychiton discolor ::
348,Eucalyptus saligna :: Sidney Blue Gum
349,Pyrus calleryana 'Redspire' :: Ornamental Pear Tree 'Redspire'
350,Solanum rantonnetti ::
351,Robinia x ambigua :: Locust
352,Eucalyptus cinerea :: Ash-colored Eucalyptus
353,Juniperus californica :: California juniper
354,Sophora japonica 'Regent' :: Regent Scholar Tree
355,Salix lasiolepis :: Arroyo willow
356,Cussonia spicata :: Cabbage tree
357,Meryta sinclairii :: Puka or puke tree
358,Fagus sylvatica :: European Beech
359,Podocarpus henkelii :: Long-Leafed Yellow-Wood
360,Quercus lobata :: Valley Oak
361,Quercus coccinea :: Scarlet Oak
362,Pyrus calleryana 'Capital' :: Ornamental Pear Tree 'Capital'
363,Cedrus libani :: Lebanon cedar
364,Chamaecyparis obtusa :: Hinoki cypress
365,Corymbia citriodora :: Lemon Scented Gum
366,Prunus lyonii :: Catalina Cherry
367,Crataegus laevigata 'Paul's Scarlet' :: Paul's Scarlet Hawthorn
368,Acca sellowiana :: Pineapple Guava Tree
369,Prunus spp :: Flowering Plum
370,Quercus frainetto 'Trump' :: Hungarian Oak
371,Chorisia speciosa :: Silk Floss Tree
372,Brahea armata :: Blue hesper palm
373,Phoenix spp :: Date palm (species unknown)
374,Liquidambar styraciflua 'Festival' :: Festival Sweet Gum
375,Arctostaphylos manzanita 'Dr Hurd' :: Dr. Hurd Manzanita
376,Archontophoenix myolensis :: Myola palm
377,Acacia vestita :: Hairy wattle
378,Juglans regia :: Walnut: English
379,Jubaea chilensis :: Chilean Wine Palm
380,Fraxinus ornus :: Flowering Ash
381,Corymbia calophylla ::
382,Pinus coulteri :: Coulter pine
383,Ginkgo biloba 'Saratoga' :: Ginkgo: Saratoga
384,Ficus microcarpa 'Retusa' :: Pot Belly Fig
385,Eucalyptus macarthuri :: Camden Wollybutt
386,Musa spp :: Banana
387,Eucalyptus longifolia :: Woollybutt
388,Diospyros kaki :: Persimmon
389,Eucalyptus viminalis :: Manna Gum
390,Dicksonia antarctica :: Soft Tree Fern
391,Schefflera species :: Umbrella tree
392,Leucadendron 'Gold Strike' :: Yellow conebush
393,Tilia americana :: Basswood Linden
394,Rhopalostylis baueri :: Palm
395,Acer tegmentosum :: Manchurian snakebark maple
396,Taxodium mucronatum :: Montezuma Cypress
397,Pinus muricata :: Bishop Pine
398,Prunus serrulata 'Royal Burgundy' :: Royal Burgundy Flowering Cherry Tree
399,Metasequoia glyplostroboides :: Dawn Redwood
