,0,urlPath
377,Liquidambar styraciflua 'Festival' :: Festival Sweet Gum,819
378,Arctostaphylos manzanita 'Dr Hurd' :: Dr. Hurd Manzanita,180
379,Archontophoenix myolensis :: Myola palm,0
380,Acacia vestita :: Hairy wattle,0
381,Juglans regia :: Walnut: English,748
382,Jubaea chilensis :: Chilean Wine Palm,743
383,Fraxinus ornus :: Flowering Ash,632
384,Corymbia calophylla ::,529
385,Pinus coulteri :: Coulter pine,1041
386,Ginkgo biloba 'Saratoga' :: Ginkgo: Saratoga,657
387,Ficus microcarpa 'Retusa' :: Pot Belly Fig,609
388,Eucalyptus macarthuri :: Camden Wollybutt,1210
389,Musa spp :: Banana,942
390,Eucalyptus longifolia :: Woollybutt,0
391,Diospyros kaki :: Persimmon,490
392,Eucalyptus viminalis :: Manna Gum,573
393,Dicksonia antarctica :: Soft Tree Fern,488
394,Schefflera species :: Umbrella tree,1319
395,Leucadendron 'Gold Strike' :: Yellow conebush,0
396,Tilia americana :: Basswood Linden,0
397,Rhopalostylis baueri :: Palm,1280
398,Acer tegmentosum :: Manchurian snakebark maple,0
399,Taxodium mucronatum :: Montezuma Cypress,1387
400,Pinus muricata :: Bishop Pine,1058
401,Prunus serrulata 'Royal Burgundy' :: Royal Burgundy Flowering Cherry Tree,0
402,Metasequoia glyplostroboides :: Dawn Redwood,938
403,Ulmus procera :: English Elm,1444
404,Styphnolobium japonicum :: Chinese scholar tree,1334
405,Erythrina caffra :: Coral tree,515
406,Cupressus spp :: Cypress species,0
407,Prunus serrulata 'Mt. Fuji' :: Mt. Fuji Cherry Tree,1518
408,x Chiranthofremontia lenzii :: Hybrid Monkey Hand Tree,0
409,Rhus typhina :: Staghorn sumac,1286
410,Quercus engelmannii :: Engelmann oak,1238
411,Eucalyptus rudis :: Swamp Gum: Flooded Gum,566
412,Dypsis cabadae :: Cabada palm,0
413,Casurina stricta :: Beefwood: Drooping She-Oak,0
414,Prunus caroliniana :: Carolina Cherry Laurel,1155
415,Cercocarpus betuloides :: Mountain mahogany,325
416,Prunus serrulata 'Akebono' :: 'Akebono' Cherry,1518
417,Celtis occidentalis :: Common Hackberry,298
418,Platanus orientalis :: Eastern Plane Tree,1105
419,Ziziphus jujuba :: Jujube,1483
420,Salix matsudana 'Tortuosa' :: Corkscrew Willow,1305
421,Lagerstroemia indica 'Natchez' :: Natchez Crape Myrtle,790
422,Crinodendron patagua :: Lily-of-the-Valley Tree,458
423,Populus alba :: White Poplar,1122
424,Carpinus betulus 'Fastigiata' :: Upright European Hornbeam,252
425,Brachychiton acerifolius :: Australian Flame Tree,213
426,Fraxinus americana 'Autumn Purple' :: American Autumn Purple Ash,0
427,Rhamnus alaternus 'John Edwards' :: John Edwards Buckthorn,1268
428,Juniperus scopulorum 'Pat :: Juniper Tree 'Pathfinder',760
429,Prunus domestica 'Santa Rosa' :: Santa Rosa Plum,1163
430,Robinia pseudoacacia 'Umbraculifera' :: Globe Locust,1290
431,Acer x freemanii 'Autumn Blaze' :: Autumn Blaze Freeman Maple,0
432,Cornus SPP :: Dogwood,392
433,Prunus spp 'Purpurea' :: Cherry Plum,1157
434,Garrya elliptica 'Evie' :: Evie Coast Silktassel Tree,0
435,Malus x 'Callaway' :: White-Flowered Crabapple,899
436,Corynocarpus laevigata :: New Zealand Laurel,432
437,Prunus serrulata 'Amanagawa' :: Flowering Cherry Tree 'Amanagawa',1518
438,Prunus laurocerasus :: English laurel,1165
439,Prunus serrula :: Birchbark Cherry,1179
440,Aloe barberae :: Tree aloe,1507
441,Citrus x hystrix :: Kaffir lime,0
442,Eucalyptus microtheca :: Flooded Box: Coolibah,0
443,Liquidambar styraciflua 'Burgundy' :: Burgundy Sweet Gum,819
444,Ulmus parvifolia 'Athena' :: Chinese Elm 'Athena',1443
445,Prunus cerasifera 'Thundercloud' :: Purple-Leaf Plum 'Thundercloud',1500
446,Psidium guajava :: Guava tree,1203
447,Sambucus species :: Elderberry,1312
448,Populus canadensis :: Canadian Poplar,1127
